"","Name","Age","Since","Current.Position","company_code","company_name"
"49","Hamish Paton",NA,2019,"Chief Executive Officer, Executive Director","AMGO","AMIGO"
"50","Simon Dighton",55,2019,"Chief Financial Officer","AMGO","AMIGO"
"51","Nayan Kisnadwala",NA,2019,"Executive Director","AMGO","AMIGO"
"52","Nicholas Beal",46,2016,"Director of Legal and Compliance and Company Secretary","AMGO","AMIGO"
"53","James Benamor",41,2016,"Non-Executive Director","AMGO","AMIGO"
"54","Roger Lovering",58,2016,"Senior Non-Executive Independent Director","AMGO","AMIGO"
"55","Richard Price",54,2016,"Non-Executive Independent Director","AMGO","AMIGO"
"56","Stuart Chambers",63,2017,"Chairman of the Board","AAL","ANGLO AMERICAN"
"57","Mark Cutifani",61,2013,"Chief Executive, Executive Director","AAL","ANGLO AMERICAN"
"58","Stephen Pearce",55,2017,"Finance Director, Executive Director","AAL","ANGLO AMERICAN"
"59","Wilfred Bruijn",NA,2019,"CEO of Anglo American in Brazil","AAL","ANGLO AMERICAN"
"60","Bruce Cleaver",53,2016,"Chief Executive Officer of De Beers Group","AAL","ANGLO AMERICAN"
"61","Ruben Fernandes",49,2019,"CEO of Base Metals","AAL","ANGLO AMERICAN"
"62","Seamus French",56,2016,"CEO of Bulk Commodities","AAL","ANGLO AMERICAN"
"63","Christopher Griffith",54,2012,"Chief Executive Officer of Anglo American Platinum Limited","AAL","ANGLO AMERICAN"
"64","Peter Whitcutt",53,2016,"Chief Executive Officer - Marketing","AAL","ANGLO AMERICAN"
"65","Anthony O'Neill",60,2015,"Technical Director, Executive Director","AAL","ANGLO AMERICAN"
"66","Duncan Wanblad",52,2019,"Group Director of Strategy and Business Development","AAL","ANGLO AMERICAN"
"67","Richard Price",55,2018,"Group General Counsel and Company Secretary","AAL","ANGLO AMERICAN"
"68","Didier Charreton",55,2015,"Group Director - People and Organisation","AAL","ANGLO AMERICAN"
"69","Anik Michaud",51,2015,"Group Director - Corporate Relations","AAL","ANGLO AMERICAN"
"70","Marcelo Bastos",NA,2019,"Non-Executive Director","AAL","ANGLO AMERICAN"
"71","Ian Ashby",61,2017,"Non-Executive Independent Director","AAL","ANGLO AMERICAN"
"72","Nolitha Fakude",54,2017,"Non-Executive Independent Director","AAL","ANGLO AMERICAN"
"73","Byron Grote",71,2019,"Senior Non-Executive Independent Director","AAL","ANGLO AMERICAN"
"74","Mphu Ramatlapeng",66,2013,"Non-Executive Independent Director","AAL","ANGLO AMERICAN"
"75","James Rutherford",59,2013,"Non-Executive Independent Director","AAL","ANGLO AMERICAN"
"76","Anne Stevens",69,2012,"Non-Executive Independent Director","AAL","ANGLO AMERICAN"
"77","Paul Galloway",NA,2013,"Group Head - Investor Relations","AAL","ANGLO AMERICAN"
"78","Jean Paul Luksic Fontbona",NA,2014,"Non-Executive Chairman","ANTO","ANTOFAGASTA"
"79","Ivan Arriagada Herrera",NA,2016,"Group Chief Executive Officer","ANTO","ANTOFAGASTA"
"80","Alfredo Atucha",NA,2013,"Chief Financial Officer, Vice President - Finance and Administration","ANTO","ANTOFAGASTA"
"81","Hernan Menares",NA,2011,"Vice President - Operations","ANTO","ANTOFAGASTA"
"82","Gonzalo Sanchez",NA,2012,"Vice President - Sales","ANTO","ANTOFAGASTA"
"83","Ana Rabagliati",NA,2013,"Vice President - Human Resources","ANTO","ANTOFAGASTA"
"84","Rene Aguilar",NA,2017,"Vice President - Corporate Affairs and Sustainability","ANTO","ANTOFAGASTA"
"85","Patricio Enei",NA,2014,"Vice President - Legal","ANTO","ANTOFAGASTA"
"86","Andronico Luksic Lederer",NA,NA,"Vice President - Development","ANTO","ANTOFAGASTA"
"87","Francisco Veloso",NA,2016,"Vice President - Investor Relations","ANTO","ANTOFAGASTA"
"88","Francisco Walther",NA,NA,"Vice President - Projects","ANTO","ANTOFAGASTA"
"89","Julian Anderson",NA,NA,"Company Secretary","ANTO","ANTOFAGASTA"
"90","Juan Claro",67,2005,"Non-Executive Director","ANTO","ANTOFAGASTA"
"91","Andronico Craig",63,2013,"Non-Executive Director","ANTO","ANTOFAGASTA"
"92","Ramon Jara",64,2003,"Non-Executive Director","ANTO","ANTOFAGASTA"
"93","Gonzalo Menendez",69,1985,"Non-Executive Director","ANTO","ANTOFAGASTA"
"94","A. E. Michael Anglin",63,2019,"Independent Non-Executive Director","ANTO","ANTOFAGASTA"
"95","Timothy Baker",66,2011,"Non-Executive Independent Director","ANTO","ANTOFAGASTA"
"96","Jorge Bande",65,2014,"Non-Executive Independent Director","ANTO","ANTOFAGASTA"
"97","Vivianne Blanlot",62,2014,"Non-Executive Independent Director","ANTO","ANTOFAGASTA"
"98","Francisca Castro",55,2016,"Non-Executive Independent Director","ANTO","ANTOFAGASTA"
"99","Manuel De Sousa-Oliveira",66,2016,"Senior Independent Non-Executive Director","ANTO","ANTOFAGASTA"
"100","Andrew Lindsay",NA,NA,"IR Contact Officer","ANTO","ANTOFAGASTA"
"101","Timothy Breedon",NA,2015,"Non-Executive Independent Chairman of the Board","APAX","APAX GLB"
"102","Christopher Ambler",47,2015,"Non-Executive Independent Director","APAX","APAX GLB"
"103","Michael Bane",NA,2018,"Non-Executive Independent Director","APAX","APAX GLB"
"104","Sally-Ann Farnon",59,2016,"Senior Independent Non-Executive Director","APAX","APAX GLB"
"105","Sarah Wojcik",NA,NA,"Investor Relation Manager","APAX","APAX GLB"
"106","Scott Forbes",60,2017,"Non-Executive Chairman of the Board, Independent Director","ASCL","ASCENTIAL"
"107","Duncan Painter",NA,2016,"Chief Executive Officer, Director","ASCL","ASCENTIAL"
"108","Mandy Gradden",NA,NA,"Chief Financial Officer, Director","ASCL","ASCENTIAL"
"109","Natasha Christie-Miller",NA,NA,"Chief Executive - Ascential Intelligence","ASCL","ASCENTIAL"
"110","Philip Thomas",NA,NA,"Chief Executive Officer - Ascential Events","ASCL","ASCENTIAL"
"111","Michael Lisowski",NA,2016,"Chief Operating Officer","ASCL","ASCENTIAL"
"112","Louise Meads",NA,2017,"Company Secretary","ASCL","ASCENTIAL"
"113","Rita Clifton",57,2016,"Senior Independent Non-Executive Director","ASCL","ASCENTIAL"
"114","Paul Harrison",53,2016,"Independent Non-Executive Director","ASCL","ASCENTIAL"
"115","Gillian Kent",NA,2016,"Independent Non-Executive Director","ASCL","ASCENTIAL"
"116","Judy Vezmar",NA,2016,"Independent Non-Executive Director","ASCL","ASCENTIAL"
"117","David Bennett",57,2018,"Non-Executive Chairman of the Board","ASHM","ASHMORE"
"118","Mark Coombs",57,1998,"Chief Executive Officer, Executive Director","ASHM","ASHMORE"
"119","Tom Shippey",43,2013,"Group Finance Director, Executive Director","ASHM","ASHMORE"
"120","Michael Perman",NA,NA,"Company Secretary","ASHM","ASHMORE"
"121","Clive Adamson",NA,2018,"Senior Non-Executive Independent Director","ASHM","ASHMORE"
"122","Jennifer Bingham",NA,2018,"Non-Executive Independent Director","ASHM","ASHMORE"
"123","Dame Pringle",62,2013,"Non-Executive Independent Director","ASHM","ASHMORE"
"124","Paul Measday",NA,2015,"IR Contact Officer","ASHM","ASHMORE"
"125","Paul Walker",60,2018,"Non-Executive Chairman of the Board","AHT","ASHTEAD GRP."
"126","Brendan Horgan",44,2019,"Chief Executive Officer, Chief Operating Officer, Executive Director, Chief Executive - Sunbelt Rentals Inc","AHT","ASHTEAD GRP."
"127","Michael Pratt",54,2018,"Finance Director","AHT","ASHTEAD GRP."
"128","Richard Thomas",NA,2018,"Chief Executive Officer - A-Plant","AHT","ASHTEAD GRP."
"129","Eric Watkins",NA,NA,"Company secretary","AHT","ASHTEAD GRP."
"130","Angus Cockburn",54,2018,"Non-Executive Director","AHT","ASHTEAD GRP."
"131","Lindsley Ruth",NA,2019,"Non-Executive Director","AHT","ASHTEAD GRP."
"132","Tanya Fratto",57,2016,"Independent Non-Executive Director","AHT","ASHTEAD GRP."
"133","Lucinda Riches",57,2016,"Independent Non-Executive Director","AHT","ASHTEAD GRP."
"134","Rashid Bilal",NA,NA,NA,"AML","ASTON MARTIN"
"135","Cerny (Jeffrey A)",NA,NA,NA,"AML","ASTON MARTIN"
"136","Orchard First Source Asset Management L L C",NA,NA,NA,"AML","ASTON MARTIN"
"137","Rashid Bilal",NA,NA,NA,"AML","ASTON MARTIN"
"138","Cerny (Jeffrey A)",NA,NA,NA,"AML","ASTON MARTIN"
"139","Leif Johansson",68,2012,"Independent Non-Executive Chairman of the Board","AZN","ASTRAZENECA"
"140","Pascal Soriot",59,2012,"Chief Executive Officer, Executive Director","AZN","ASTRAZENECA"
"141","Marc Dunoyer",NA,2013,"Chief Financial Officer, Executive Director","AZN","ASTRAZENECA"
"142","Katarina Ageborg",NA,2011,"Executive Vice President - Sustainability, Chief Compliance Officer","AZN","ASTRAZENECA"
"143","Fiona Cicconi",NA,2014,"Executive Vice President - Human Resources","AZN","ASTRAZENECA"
"144","Jose Baselga",59,2019,"Executive Vice President - Research & Development Oncology","AZN","ASTRAZENECA"
"145","Sean Bohen",NA,2015,"Chief Medical Officer, Executive Vice President - Global Medicines Development","AZN","ASTRAZENECA"
"146","Pam Cheng",48,2015,"Executive Vice President - Operations and Information Technology","AZN","ASTRAZENECA"
"147","Ruud Dobber",NA,2019,"Executive Vice President, BioPharmaceuticals Business","AZN","ASTRAZENECA"
"148","David Fredrickson",NA,2017,"Executive Vice President, Global Head Oncology Business Unit","AZN","ASTRAZENECA"
"149","Menelas Pangalos",NA,2019,"Executive Vice President - Research & Development BioPharmaceuticals","AZN","ASTRAZENECA"
"150","Iskra Reic",NA,2017,"Executive Vice President, Europe","AZN","ASTRAZENECA"
"151","Leon Wang",NA,2019,"Executive Vice President - International and China President","AZN","ASTRAZENECA"
"152","Jeffrey Pott",NA,2009,"General Counsel","AZN","ASTRAZENECA"
"153","Adrian Kemp",NA,2009,"Company Secretary","AZN","ASTRAZENECA"
"154","Marcus Wallenberg",63,1999,"Non-Executive Director","AZN","ASTRAZENECA"
"155","Weiying Wang",NA,2019,"Non-Executive Director","AZN","ASTRAZENECA"
"156","Genevieve Berger",64,2012,"Non-Executive Independent Director","AZN","ASTRAZENECA"
"157","Philip Broadley",NA,2017,"Non-Executive Independent Director","AZN","ASTRAZENECA"
"158","Graham Chipchase",55,2019,"Senior Non-Executive Independent Director","AZN","ASTRAZENECA"
"159","Deborah DiSanzo",59,2017,"Non-Executive Independent Director","AZN","ASTRAZENECA"
"160","Sherilyn McCoy",60,2017,"Non-Executive Independent Director","AZN","ASTRAZENECA"
"161","Tony Mok",NA,2019,"Non-Executive Independent Director","AZN","ASTRAZENECA"
"162","Nazneen Rahman",NA,2017,"Non-Executive Independent Director","AZN","ASTRAZENECA"
"163","Thomas Larsen",NA,2014,"Investor Relations","AZN","ASTRAZENECA"
"164","John Schwarz",68,2014,"Independent Non-Executive Chairman of the Board","AVST","AVAST"
"165","Ondrej Vlcek",41,2019,"Chief Executive Officer, Executive Director","AVST","AVAST"
"166","Philip Marshall",48,2018,"Chief Financial Officer, Executive Director","AVST","AVAST"
"167","Steven Scheers",NA,NA,"Chief Human Resource Officer","AVST","AVAST"
"168","Kevin Chapman",NA,NA,"Senior Vice President, General Manager, Avast Business","AVST","AVAST"
"169","Jim Holden",NA,NA,"Senior Vice President - Strategy and Corporate Development","AVST","AVAST"
"170","Gagan Singh",NA,NA,"Senior Vice President, Chief Product Officer - Consumer","AVST","AVAST"
"171","Glenn Taylor",NA,NA,"Senior Vice President - Special Projects","AVST","AVAST"
"172","Peter Turner",NA,NA,"Senior Vice President, Chief Revenue Officer, Consumer","AVST","AVAST"
"173","Detlef Steinmetz",52,2017,"Chief Information Officer","AVST","AVAST"
"174","Robin Selden",NA,2015,"Chief Marketing Officer","AVST","AVAST"
"175","Kelby Barton",NA,2018,"General Counsel","AVST","AVAST"
"176","Alan Rassaby",57,2018,"Chief of Staff, Company Secretary","AVST","AVAST"
"177","Pavel Baudis",58,NA,"Non-Executive Director","AVST","AVAST"
"178","Eduard Kucera",66,NA,"Non-Executive Director","AVST","AVAST"
"179","Lorne Somerville",55,2014,"Non-Executive Director","AVST","AVAST"
"180","Maggie Chan Jones",NA,2019,"Non-Executive Independent Director","AVST","AVAST"
"181","Ulf Claesson",65,2012,"Non-Executive Independent Director","AVST","AVAST"
"182","Warren Finegold",62,2015,"Senior Non-Executive Independent Director","AVST","AVAST"
"183","Erwin Gunst",58,2012,"Non-Executive Independent Director","AVST","AVAST"
"184","Tamara Minick-Scokalo",60,2019,"Non-Executive Independent Director","AVST","AVAST"
"185","Belinda Richards",60,2018,"Non-Executive Independent Director","AVST","AVAST"
"186","Peter Russell",NA,NA,"Director of Investor Relations","AVST","AVAST"
"187","Philip Aiken",69,2012,"Non-Executive Independent Chairman of the Board","AVV","AVEVA GRP"
"188","Craig Hayman",54,2018,"Chief Executive Officer, Director","AVV","AVEVA GRP"
"189","James Kidd",NA,2018,"Deputy Chief Executive Officer, Chief Financial Officer, Executive Director","AVV","AVEVA GRP"
"190","Emmanuel Babeau",52,2018,"Non-Executive Vice Chairman of the Board","AVV","AVEVA GRP"
"191","David Ward",NA,2018,"Deputy Chief Financial Officer, Company Secretary","AVV","AVEVA GRP"
"192","Peter Herweck",NA,2018,"Non-Executive Director","AVV","AVEVA GRP"
"193","Jennifer Allerton",68,2013,"Non-Executive Independent Director","AVV","AVEVA GRP"
"194","Paula Dowdy",NA,2019,"Non-Executive Independent Director","AVV","AVEVA GRP"
"195","Christopher Humphrey",NA,2016,"Senior Non-Executive Independent Director","AVV","AVEVA GRP"
"196","Rohinton Mobed",NA,2017,"Non-Executive Independent Director","AVV","AVEVA GRP"
"197","Matt Springett",NA,2015,"Head of Investor Relations","AVV","AVEVA GRP"
"198","Susan Noble",NA,2017,"Independent Non-Executive Chairman of the Board","AGT","AVI GLOBAL TST"
"199","Graham Kitchen",NA,2019,"Non-Executive Director","AGT","AVI GLOBAL TST"
"200","Anja Balfour",NA,2018,"Non-Executive Independent Director","AGT","AVI GLOBAL TST"
"201","Nigel Rich",NA,2012,"Independent Non-Executive Director","AGT","AVI GLOBAL TST"
"202","Calum Thomson",NA,2017,"Independent Non-Executive Director","AGT","AVI GLOBAL TST"
"203","Ruth Cairnie",64,2019,"Non-Executive Chairman of the Board","BAB","BABCOCK INTL"
"204","Archie Bethel",NA,2016,"Chief Executive, Executive Director","BAB","BABCOCK INTL"
"205","Franco Martinelli",NA,2014,"Group Finance Director, Executive Director","BAB","BABCOCK INTL"
"206","John Davies",NA,2017,"Chief Executive - Land, Executive Director","BAB","BABCOCK INTL"
"207","Simon Bowen",NA,2017,"Chief Executive - Cavendish Nuclear","BAB","BABCOCK INTL"
"208","Roger Hardy",NA,2017,"Chief Executive - Aviation","BAB","BABCOCK INTL"
"209","John Howie",74,2016,"Chief Executive - Marine","BAB","BABCOCK INTL"
"210","Jack Borrett",NA,2016,"Group Company Secretary, General Counsel","BAB","BABCOCK INTL"
"211","Jon Hall",NA,2017,"Managing Director - Technology","BAB","BABCOCK INTL"
"212","Kevin Goodman",NA,2017,"Group Director of Organization and Development","BAB","BABCOCK INTL"
"213","Victoire de Margerie",55,2016,"Independent Non-Executive Director","BAB","BABCOCK INTL"
"214","Lucy Dimes",NA,2018,"Non-Executive Independent Director","BAB","BABCOCK INTL"
"215","Ian Duncan",56,2010,"Independent Non-Executive Director","BAB","BABCOCK INTL"
"216","Myles Lee",65,2015,"Independent Non-Executive Director","BAB","BABCOCK INTL"
"217","David Omand",NA,2012,"Senior Independent Non-Executive Director","BAB","BABCOCK INTL"
"218","Jeff Randall",NA,2014,"Independent Non-Executive Director","BAB","BABCOCK INTL"
"219","Kjersti Wiklund",NA,2018,"Non-Executive Independent Director","BAB","BABCOCK INTL"
"220","Kate Hill",NA,2014,"Group Director - IR and Communications","BAB","BABCOCK INTL"
"221","Nick Bannerman",NA,2014,"Non-Executive Chairman of the Board","BGFD","BAILLIE G.JAP."
"222","Paul Dimond",NA,2006,"Non-Executive Independent Director","BGFD","BAILLIE G.JAP."
"223","Keith Falconer",NA,2014,"Non-Executive Independent Director","BGFD","BAILLIE G.JAP."
"224","David Kidd",NA,2015,"Non-Executive Independent Director","BGFD","BAILLIE G.JAP."
"225","Martin Paling",NA,2008,"Non-Executive Independent Director","BGFD","BAILLIE G.JAP."
"226","Joanna Pitman",NA,2018,"Non-Executive Independent Director","BGFD","BAILLIE G.JAP."
"227","Simon Burke",NA,2017,"Independent Non-Executive Chairman of the Board","BAKK","BAKKAVOR"
"228","Agust Gudmundsson",55,2006,"Chief Executive Officer, Executive Director","BAKK","BAKKAVOR"
"229","Peter Gates",NA,2010,"Chief Financial Officer, Executive Director","BAKK","BAKKAVOR"
"230","Benjamin Waldron",NA,NA,"President - Bakkavor US","BAKK","BAKKAVOR"
"231","Mike Edwards",NA,2014,"Chief Operating Officer - Bakkavor UK","BAKK","BAKKAVOR"
"232","Simon Witham",NA,2017,"General Counsel, Secretary","BAKK","BAKKAVOR"
"233","Einar Gustafsson",NA,2017,"Managing Director - Bakkavor China","BAKK","BAKKAVOR"
"234","Donna-Maria Lee",NA,2018,"Group Human Resources Director","BAKK","BAKKAVOR"
"235","Sue Clark",55,2017,"Non-Executive Independent Director","BAKK","BAKKAVOR"
"236","Patrick Cook",NA,2018,"Non-Executive Independent Director","BAKK","BAKKAVOR"
"237","Lydur Gudmundsson",52,NA,"Non-Executive Independent Director","BAKK","BAKKAVOR"
"238","Denis Hennequin",61,2017,"Non-Executive Independent Director","BAKK","BAKKAVOR"
"239","Todd Krasnow",NA,2016,"Non-Executive Independent Director","BAKK","BAKKAVOR"
"240","Jane Lodge",NA,2018,"Independent Non-Executive Director","BAKK","BAKKAVOR"
"241","Neil Janin",64,2018,"Non-Executive Chairman of the Board","BGEO","BANK OF GEORGIA"
"242","Archil Gachechiladze",NA,2019,"Chief Executive Officer, Executive Director","BGEO","BANK OF GEORGIA"
"243","David Tsiklauri",38,2017,"Deputy Chief Executive Officer, Chief Financial Officer","BGEO","BANK OF GEORGIA"
"244","Mikheil Gomarteli",NA,2017,"Deputy Chief Executive Officer - Retail Banking","BGEO","BANK OF GEORGIA"
"245","Levan Kulijanishvili",NA,2017,"Deputy Chief Executive Officer, Operations","BGEO","BANK OF GEORGIA"
"246","Alasdair Breach",49,2018,"Non-Executive Independent Director","BGEO","BANK OF GEORGIA"
"247","Tamaz Georgadze",NA,2018,"Non-Executive Independent Director","BGEO","BANK OF GEORGIA"
"248","Hanna-Leena Loikkanen",50,2018,"Senior Non-Executive Independent Director","BGEO","BANK OF GEORGIA"
"249","Veronique McCarroll",NA,2018,"Non-Executive Independent Director","BGEO","BANK OF GEORGIA"
"250","Jonathan Muir",NA,2018,"Non-Executive Independent Director","BGEO","BANK OF GEORGIA"
"251","Cecil Quillen",NA,2018,"Non-Executive Independent Director","BGEO","BANK OF GEORGIA"
"252","Andreas Wolf",NA,2018,"Non-Executive Independent Director","BGEO","BANK OF GEORGIA"
"253","Susan Inglis",NA,2019,"Non-Executive Chairman of the Board","BNKR","BANKERS INV.TST"
"254","Charlie Awdry",NA,2014,"Fund Manager of the China portfolio","BNKR","BANKERS INV.TST"
"255","Alexander Crooke",NA,2014,"Fund Manager of the portfolio","BNKR","BANKERS INV.TST"
"256","Michael Kerley",NA,2014,"Fund Managers of the Pacific (ex Japan) portfolio","BNKR","BANKERS INV.TST"
"257","Tim Stevenson",NA,2014,"Fund Manager of the European portfolio","BNKR","BANKERS INV.TST"
"258","Ian Warmerdam",NA,2014,"Fund Manager of the North America portfolio","BNKR","BANKERS INV.TST"
"259","Richard Huntingford",62,2018,"Non-Executive Director","BNKR","BANKERS INV.TST"
"260","Isobel Sharp",NA,2017,"Non-Executive Director","BNKR","BANKERS INV.TST"
"261","Julian Chillingworth",NA,2019,"Senior Independent Non-Executive Director","BNKR","BANKERS INV.TST"
"262","Nigel Higgins",NA,2019,"Group Chairman of the Board","BARC","BARCLAYS"
"263","James Staley",63,2015,"Group Chief Executive, Executive Director","BARC","BARCLAYS"
"264","Tushar Morzaria",NA,2013,"Group Finance Director, Executive Director","BARC","BARCLAYS"
"265","Ashok Vaswani",NA,2015,"Chief Executive Officer - Barclays UK","BARC","BARCLAYS"
"266","Paul Compton",NA,2016,"Group Chief Operating Officer","BARC","BARCLAYS"
"267","Laura Padovani",NA,2018,"Group Chief Compliance Officer","BARC","BARCLAYS"
"268","C.S. Venkatakrishnan",NA,2016,"Group Chief Risk Officer","BARC","BARCLAYS"
"269","Bob Hoyt",NA,2013,"Group General Counsel","BARC","BARCLAYS"
"270","Tristram Roberts",NA,2015,"Group Human Resources Director","BARC","BARCLAYS"
"271","Stephen Shapiro",NA,2017,"Company Secretary","BARC","BARCLAYS"
"272","Michael Ashley",NA,2013,"Non-Executive Independent Director","BARC","BARCLAYS"
"273","Timothy Breedon",NA,2012,"Non-Executive Independent Director","BARC","BARCLAYS"
"274","Ian Cheshire",59,2017,"Non-Executive Independent Director; Chairman Barclays UK","BARC","BARCLAYS"
"275","Mary Citrino",59,2018,"Non-Executive Independent Director","BARC","BARCLAYS"
"276","Mary Francis",70,2016,"Non-Executive Independent Director","BARC","BARCLAYS"
"277","Crawford Gillies",NA,2018,"Senior Non-Executive Independent Director","BARC","BARCLAYS"
"278","Matthew Lester",NA,2017,"Non-Executive Independent Director","BARC","BARCLAYS"
"279","Diane Schueneman",NA,2015,"Non-Executive Independent Director","BARC","BARCLAYS"
"280","John Nicolson",65,2015,"Independent Non-Executive Chairman of the Board","BAG","BARR (A.G.)"
"281","Roger White",NA,2004,"Chief Executive, Executive Director","BAG","BARR (A.G.)"
"282","Stuart Lorimer",NA,2015,"Finance Director, Executive Director","BAG","BARR (A.G.)"
"283","Jonathan Kemp",NA,2003,"Commercial Director, Executive Director","BAG","BARR (A.G.)"
"284","Andrew Memmott",NA,2013,"Supply Chain Director, Executive Director","BAG","BARR (A.G.)"
"285","Julie Ann Barr",NA,2008,"Company Secretary","BAG","BARR (A.G.)"
"286","W. Robin Barr",NA,2009,"Non-Executive Director","BAG","BARR (A.G.)"
"287","Susan Barratt",NA,2018,"Non-Executive Independent Director","BAG","BARR (A.G.)"
"288","Martin Griffiths",NA,2015,"Senior Non-Executive Independent Director","BAG","BARR (A.G.)"
"289","Pamela Powell",NA,2013,"Independent Non-Executive Director","BAG","BARR (A.G.)"
"290","David Ritchie",NA,2015,"Independent Non-Executive Director","BAG","BARR (A.G.)"
"291","Nicholas Wharton",NA,2018,"Non-Executive Independent Director","BAG","BARR (A.G.)"
"292","John Allan",70,2014,"Non-Executive Independent Chairman of the Board","BDEV","BARRATT DEVEL."
"293","David Thomas",52,2015,"Group Chief Executive, Executive Director","BDEV","BARRATT DEVEL."
"294","Steven Boyes",NA,2016,"Deputy Chief Executive Officer, Chief Operating Officer, Executive Director","BDEV","BARRATT DEVEL."
"295","Jessica White",NA,2017,"Chief Financial Officer, Executive Director","BDEV","BARRATT DEVEL."
"296","Jeremy Hipkiss",NA,NA,"Group Sales and Marketing Director","BDEV","BARRATT DEVEL."
"297","Rob Tansey",NA,NA,"Group Director of Human Resources","BDEV","BARRATT DEVEL."
"298","Tina Bains",NA,2016,"Group Company Secretary","BDEV","BARRATT DEVEL."
"299","Richard Akers",55,2016,"Senior Independent Non-Executive Director","BDEV","BARRATT DEVEL."
"300","Tessa Bamford",NA,2009,"Non-Executive Independent Director","BDEV","BARRATT DEVEL."
